,Unnamed: 0,Name,No.,link
39,0,MOUSE PAD (เมาส์แพด) GV ZODIAC PISCES V.2,140,https://www.jib.co.th/web/product/readProduct/33864/497/MOUSE-PAD--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C%E0%B9%81%E0%B8%9E%E0%B8%94--GV-ZODIAC-PISCES-V-2
40,0,MOUSE PAD (เมาส์แพด) GV ZODIAC CAPRICORN V.2,141,https://www.jib.co.th/web/product/readProduct/33863/497/MOUSE-PAD--%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%AA%E0%B9%8C%E0%B9%81%E0%B8%9E%E0%B8%94--GV-ZODIAC-CAPRICORN-V-2
41,0,CCTV SET (ระบบกล้องวงจรปิด) DAHUA SET 1 (4 CHANNEL),142,https://www.jib.co.th/web/product/readProduct/35718/1846/CCTV-SET--%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%9A%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%A7%E0%B8%87%E0%B8%88%E0%B8%A3%E0%B8%9B%E0%B8%B4%E0%B8%94--DAHUA-SET-1--4-CHANNEL-
42,0,CCTV SET (ระบบกล้องวงจรปิด) DAHUA SET 3 (16 CHANNEL),143,https://www.jib.co.th/web/product/readProduct/35720/1846/CCTV-SET--%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%9A%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%A7%E0%B8%87%E0%B8%88%E0%B8%A3%E0%B8%9B%E0%B8%B4%E0%B8%94--DAHUA-SET-3--16-CHANNEL-
43,0,CPU LIQUID COOLER (ระบบระบายความร้อนด้วยน้ำ) MASTER LIQUID ML240L RGB,181,https://www.jib.co.th/web/product/readProduct/27774/1723/CPU-LIQUID-COOLER--%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%9A%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3--MASTER-LIQUID-ML240L-RGB
44,0,CPU LIQUID COOLER (ระบบระบายความร้อนด้วยน้ำ) THERMALTAKE FLOE RIING RGB 240 TT PREMIUM,182,https://www.jib.co.th/web/product/readProduct/27577/1723/CPU-LIQUID-COOLER--%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%9A%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3--THERMALTAKE-FLOE-RIING-RGB-240-TT-PREMIUM
45,0,CPU LIQUID COOLER (ระบบระบายความร้อนด้วยน้ำ) JONSBO TW2-240,183,https://www.jib.co.th/web/product/readProduct/30790/1723/CPU-LIQUID-COOLER--%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%9A%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3--JONSBO-TW2-240
46,0,CPU LIQUID COOLER (ระบบระบายความร้อนด้วยน้ำ) NZXT KRAKEN M22,184,https://www.jib.co.th/web/product/readProduct/30531/1723/CPU-LIQUID-COOLER--%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%9A%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3--NZXT-KRAKEN-M22
47,0,CPU LIQUID COOLER (ระบบระบายความร้อนด้วยน้ำ) ASUS ROG RYUO 240,185,https://www.jib.co.th/web/product/readProduct/32122/1723/CPU-LIQUID-COOLER--%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%9A%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3--ASUS-ROG-RYUO-240
48,0,CPU LIQUID COOLER (ระบบระบายความร้อนด้วยน้ำ) MASTER LIQUID ML120R RGB,186,https://www.jib.co.th/web/product/readProduct/28958/1723/CPU-LIQUID-COOLER--%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%9A%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3--MASTER-LIQUID-ML120R-RGB
